Co_ID,PO ID,Exchange,Name," Root
Ticker "," Market Cap (C$)
30-November-2020 "," O/S Shares
30-November-2020 ", Technology Sub-Sector ,Sector, Sub-Sector ,"HQ
Location","HQ
Region",Listing Type,Listing Date,QT Date,RTO Date,Date of Amalgamation,Trading on OTC,"CPC/
Former
CPC","2020
Venture 50",S&P/TSX Venture Composite Index,USA City,USA State,Asia Region,Isreal Related,Section," Volume YTD
30-November-2020 "," Value (C$) YTD
30-November-2020 "," Number of 
Trades YTD
30-November-2020 "," Number of
Months in
Trading Data "
V-00309,1052334,TSXV,Visionstate Corp.,VIS,"  2,370,523 ","  52,678,281 ",Software,Technology,,AB,Canada,,,,,,,Yes,,,,,,,Tier2,"  42,672,368 ","  2,687,752 ","  3,213 ",11
V-04258,1173030,TSXV,Vitalhub Corp.,VHI,"  68,896,927 ","  26,601,130 ",Software,Technology,,ON,Canada,QT,20150703,20161202,,,,Yes,,Y,,,,,Tier2,"  13,353,184 ","  26,038,361 ","  9,832 ",11
V-01147,17561,TSXV,Voleo Trading Systems Inc.,TRAD,"  7,757,657 ","  31,030,626 ",Internet Software & Services,Technology,,BC,Canada,RTO,,,20190531,,OTCQB,No,,,,,,,Tier2,"  8,634,630 ","  529,389 ",  553 ,11
V-04362,1180160,TSXV,Voti Detection Inc.,VOTI,"  9,449,336 ","  26,998,103 ",Hardware & Equipment,Technology,,Quebec,Canada,QT,20170831,20181119,,,,Yes,,Y,,,,,Tier2,"  2,017,681 ","  1,772,318 ",  808 ,11
V-02744,1115369,TSXV,Water Ways Technologies Inc.,WWT,"  4,520,865 ","  90,417,300 ",Hardware & Equipment,Technology,Agriculture,Israel,Other,QT from NEX,20080214,20190319,,,,Yes,,,,,,Y,Tier1,"  10,062,560 ","  650,565 ",  831 ,11
V-03927,1023697,TSXV,Wi2Wi Corporation,YTY,"  6,843,528 ","  152,078,407 ",Hardware & Equipment,Technology,,USA,USA,RTO from NEX,20111228,,20130205,,,No,,,San Jose,CA,,,Tier2,"  13,307,842 ","  675,701 ",  806 ,11
V-01323,1089804,TSXV,Yangaroo Inc.,YOO,"  9,070,821 ","  60,472,140 ",Internet Software & Services,Technology,,ON,Canada,,,,,,,No,,,,,,,Tier2,"  8,545,747 ","  982,806 ",  696 ,11
V-03627,1118524,TSXV,YDX Innovation Corp.,YDX,"  3,138,029 ","  28,527,537 ",Hardware & Equipment,Technology,Gaming,BC,Canada,RTO,20100831,,20160722,,,No,,,,,,,Tier2,"  8,316,598 ","  1,146,655 ","  2,165 ",11
V-01353,11587,TSXV,Ynvisible Interactive Inc.,YNV,"  31,748,603 ","  81,406,675 ",Hardware & Equipment,Technology,,Portugal,UK/Europe,RTO,,,20180112,,OTCQB,No,,Y,,,,,Tier2,"  23,002,017 ","  7,282,611 ","  4,087 ",11
V-04262,1173415,TSXV,Zonetail Inc.,ZONE,"  4,589,664 ","  131,133,260 ",Software,Technology,,ON,Canada,QT from NEX,20150818,20181122,,,,Yes,,,,,,,Tier2,"  35,259,154 ","  1,213,215 ",  822 ,11
V-04198,1167685,TSXV,Zoomd Technologies Ltd.,ZOMD,"  23,229,842 ","  94,815,681 ",Internet Software & Services,Technology,,Israel,Other,QT from NEX,20140529,20190903,,,,Yes,,,,,,Y,Tier2,"  5,731,022 ","  1,868,325 ","  2,236 ",11
